id,text,aspect,polarity
2777,"to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora .",food,positive
1634,"the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",food,positive
1634,"the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",kitchen,positive
2846,"not only was the food outstanding , but the little perks ' were great .",food,positive
1458,our agreed favorite is the corrected with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,corrected with sausage and chicken,positive
1458,our agreed favorite is the corrected with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,waiters,positive
1458,our agreed favorite is the corrected with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,meats,neutral
1458,our agreed favorite is the corrected with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,dish,neutral
3161,"the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",bagels,positive
2391,nevertheless the food itself is pretty good .,food,positive
296,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",mayonnaise,negative
296,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",bacon,negative
296,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",cheese,neutral
296,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",ingredients,negative
296,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",plate,neutral
296,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",omelet,neutral
1793,"it took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",drinks,neutral
1793,"it took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",check,neutral
2200,the design and atmosphere is just as good .,design,positive
2200,the design and atmosphere is just as good .,atmosphere,positive
3195,he has visited thailand and is quite expert on the cuisine .,cuisine,positive
3359,the pizza is the best if you like thin crusted pizza .,pizza,positive
3534,"all the money went into the interior decoration , none of it went to the chefs .",interior decoration,positive
3534,"all the money went into the interior decoration , none of it went to the chefs .",chefs,negative
1407,the seats are uncomfortable if you are sitting against the wall on wooden benches .,seats,negative
565,"i asked for seltzer with lime , no ice .",seltzer with lime,neutral
675,"do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",pickles,positive
675,"do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",selection of meats and seafoods,positive
2227,my suggestion is to eat family style because you 'll want to try the other dishes .,dishes,neutral
2227,my suggestion is to eat family style because you 'll want to try the other dishes .,eat family style,positive
3367,"best of all is the warm vibe , the owner is super friendly and service is fast .",vibe,positive
3367,"best of all is the warm vibe , the owner is super friendly and service is fast .",owner,positive
2191,faan 's got a great concept but a little rough on the delivery .,delivery,negative
270,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",food,positive
270,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",atmosphere,positive
270,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",service,positive
638,"great food at reasonable prices , makes for an evening that ca n't be beat !",food,positive
638,"great food at reasonable prices , makes for an evening that ca n't be beat !",prices,positive
388,this little place has a cute interior decor and affordable city prices .,prices,positive
3373,two words : free wine .,wine,positive
425,the price is reasonable although the service is poor .,price,positive
425,the price is reasonable although the service is poor .,service,negative
3192,"the quantity is also very good , you will come out satisfied .",quantity,positive
391,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers , we sat at the sushi bar to be closer to the action .",sushi,neutral
391,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers , we sat at the sushi bar to be closer to the action .",sushi bar,neutral
2384,the fried rice is amazing here .,fried rice,positive
2962,"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",mussels,positive
2962,"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",puff pastry goat cheese,positive
2962,"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",salad with a delicious dressing,positive
2962,"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",hanger steak au poivre,positive
3404,it 's a perfect place to have a amazing indian food .,indian food,positive
2599,the place is so cool and the service is prompt and curious .,service,positive
673,at the end you 're left with a mild broth with noodles that you can slurp out of a cup .,broth with noodles,positive
648,i just wonder how you can have such a delicious meal for such little money .,meal,positive
648,i just wonder how you can have such a delicious meal for such little money .,money,positive
1623,the wine list is excellent .,wine list,positive
430,"ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) .",thai food,positive
1101,they wouldnt even let me finish my glass of wine before offering another .,glass of wine,neutral
324,"when asked , we had to ask more detailed questions so that we knew what the specials were .",specials,neutral
2783,this is a consistently great place to dine for lunch or dinner .,lunch,neutral
2783,this is a consistently great place to dine for lunch or dinner .,dine,positive
2983,"nice atmosphere , the service was very pleasant and the desert was good .",service,positive
2983,"nice atmosphere , the service was very pleasant and the desert was good .",desert,positive
627,after really enjoying ourselves at the bar we sat down at a table and had dinner .,bar,positive
627,after really enjoying ourselves at the bar we sat down at a table and had dinner .,table,neutral
